Evaluation Data,,,,
Evaluation Index,Label 1,Label 2,Label 3,Response 1
160,1,1,10,1579.492432
448,1,1,10,1579.492432
592,1,1,10,1579.492432
880,1,1,10,1579.492432
1024,1,1,10,1579.492432
1456,2,1,10,1579.49353
1744,2,1,10,1579.49353
1888,2,1,10,1579.49353
2176,2,1,10,1579.49353
2320,3,1,10,1579.494629
2608,3,1,10,1579.494629
2752,3,1,10,1579.494629
2824,3,1,10,1579.494629
3040,3,1,10,1579.494629
3184,3,1,10,1579.494629
3472,4,1,10,1579.49585
3616,4,1,10,1579.49585
4048,4,1,10,1579.49585
4336,4,1,10,1579.49585
4480,4,1,10,1579.49585
4768,5,1,10,1579.497192
4912,5,1,10,1579.497192
5128,5,1,10,1579.497192
5344,5,1,10,1579.497192
5632,5,1,10,1579.497192
5776,6,1,10,1579.498779
6064,6,1,10,1579.498779
6208,6,1,10,1579.498779
6496,6,1,10,1579.498779
6640,6,1,10,1579.498779
6928,7,1,10,1579.500488
7072,7,1,10,1579.500488
7360,7,1,10,1579.500488
7504,7,1,10,1579.500488
7936,8,1,10,1579.502319
8224,8,1,10,1579.502319
8368,8,1,10,1579.502319
8656,8,1,10,1579.502319
8800,8,1,10,1579.502319
9232,9,1,10,1579.504639
9520,9,1,10,1579.504639
9664,9,1,10,1579.504639
9952,9,1,10,1579.504639
10096,9,1,10,1579.504639
10384,10,1,10,1579.507202
10528,10,1,10,1579.507202
10816,10,1,10,1579.507202
10960,10,1,10,1579.507202
11248,10,1,10,1579.507202
11392,11,1,10,1579.510376
11824,11,1,10,1579.510376
12040,11,1,10,1579.510376
12112,11,1,10,1579.510376
12256,11,1,10,1579.510376
12544,12,1,10,1579.514282
12688,12,1,10,1579.514282
12976,12,1,10,1579.514282
13120,12,1,10,1579.514282
13408,12,1,10,1579.514282
13552,12,1,10,1579.514282
13840,13,1,10,1579.519287
13984,13,1,10,1579.519287
14272,13,1,10,1579.519287
14416,13,1,10,1579.519287
14704,13,1,10,1579.519287
14848,14,1,10,1579.523926
15136,14,1,10,1579.523926
15280,14,1,10,1579.523926
15712,14,1,10,1579.523926
16000,15,1,10,1579.530762
16144,15,1,10,1579.530762
16432,15,1,10,1579.530762
16576,15,1,10,1579.530762
16648,15,1,10,1579.530762
2,1,4,11,1582.993896
92,1,4,11,1582.993896
380,1,4,11,1582.993896
578,1,4,11,1582.993896
812,1,4,11,1582.993896
1244,2,4,11,1582.994873
1388,2,4,11,1582.994873
1730,2,4,11,1582.994873
1820,2,4,11,1582.994873
2108,2,4,11,1582.994873
2306,3,4,11,1582.995972
2540,3,4,11,1582.995972
2684,3,4,11,1582.995972
2972,3,4,11,1582.995972
3116,3,4,11,1582.995972
3458,4,4,11,1582.99707
3836,4,4,11,1582.99707
